episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon
149,1,0,8,-40,6,1,10,90,0.04714787374216859
149,2,7,4,-60,5,2,11,89,0.04714787374216859
150,0,5,0,-50,5,0,4,96,0.046912134373457745
150,1,1,5,-70,3,4,6,94,0.046912134373457745
150,2,8,5,-30,9,4,2,98,0.046912134373457745
151,0,3,6,-60,4,0,5,95,0.04667757370159046
151,1,3,3,-90,1,10,6,94,0.04667757370159046
151,2,5,2,-100,5,10,7,93,0.04667757370159046
152,0,2,5,-60,4,5,6,94,0.046444185833082505
152,1,4,4,-15,9,1,5,95,0.046444185833082505
152,2,3,3,-50,7,4,5,95,0.046444185833082505
153,0,6,3,-60,4,2,5,95,0.046211964903917095
153,1,3,3,-65,4,4,3,97,0.046211964903917095
153,2,0,4,-100,2,4,4,96,0.046211964903917095
154,0,3,1,-70,3,7,6,94,0.04598090507939751
154,1,0,9,-70,3,1,3,97,0.04598090507939751
154,2,3,2,-100,4,8,3,97,0.04598090507939751
155,0,1,2,-80,2,0,2,98,0.045751000554000526
155,1,7,6,-60,4,0,7,93,0.045751000554000526
155,2,6,3,-40,6,0,7,93,0.045751000554000526
156,0,6,6,-30,7,6,8,92,0.04552224555123052
156,1,6,3,-105,2,6,2,98,0.04552224555123052
156,2,3,4,-50,6,2,6,94,0.04552224555123052
157,0,6,4,-90,1,2,2,98,0.04529463432347437
157,1,4,8,-45,6,1,4,96,0.04529463432347437
157,2,6,3,-65,4,1,3,97,0.04529463432347437
158,0,4,8,-80,2,0,5,95,0.045068161151857
158,1,9,2,-70,3,0,4,96,0.045068161151857
158,2,8,2,-90,1,0,2,98,0.045068161151857
159,0,3,4,-60,4,0,4,96,0.04484282034609772
159,1,5,4,-50,5,6,4,96,0.04484282034609772
159,2,6,6,-90,4,6,3,97,0.04484282034609772
160,0,3,6,-60,4,2,5,95,0.04461860624436723
160,1,3,7,-85,2,1,3,97,0.04461860624436723
160,2,4,6,-75,3,1,4,96,0.04461860624436723
161,0,4,7,-50,5,1,5,95,0.044395513213145395
161,1,3,9,-70,3,3,6,94,0.044395513213145395
161,2,0,2,-100,2,4,1,99,0.044395513213145395
162,0,3,2,-80,2,5,4,96,0.04417353564707967
162,1,3,3,-60,5,2,5,95,0.04417353564707967
162,2,7,2,-65,5,3,5,95,0.04417353564707967
